score_etoiles,score_dc,titre,entreprise,metier_norm,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,source,url,niveau_source,secteur_source,first_seen,last_seen,statut,raison_archive
★★★☆☆,3,Maitre chien Securité,Endeavour Mining,Métiers de terrain,Autres / Généraliste,Confirmé,"Dabakala, Vallée du Bandama, Côte d'Ivoire",Full-time,2026-06-09,,,LinkedIn,https://ci.linkedin.com/jobs/view/maitre-chien-securit%C3%A9-at-endeavour-mining-4422715790?position=4&pageNum=42&refId=hVzOCvL4EyrogLzNSNiTsw%3D%3D&trackingId=TCQqVAL9ZEWopaXDkCvuNA%3D%3D,Associate,"Mining and Oil, Gas, and Mining",2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,MANAGER EXPAT,,Autres métiers,Autres / Généraliste,Senior,Côte d'Ivoire,,19/06/2026,28/06/2026,,Educarriere,https://emploi.educarriere.ci/offre-151382-manager-expat.html,,,2026-06-19,2026-06-19,archive,date limite dépassée (28/06/2026)
★★★★★,5,In-Country Operations Specialist // Francophone,JUMO,Opérations & Supervision,Finance & Banque,Senior,Côte d'Ivoire,Full-time,2026-05-29,,,LinkedIn,https://ci.linkedin.com/jobs/view/in-country-operations-specialist-francophone-at-jumo-4417947969?position=10&pageNum=32&refId=J6TsznqCmobEXGRZX8e0rg%3D%3D&trackingId=kOY8UGBQY3yO9nm4yOos7g%3D%3D,Mid-Senior level,Financial Services and Information Services,2026-06-19,2026-06-19,archive,retirée de la source
★★★★★,5,Health and Safety Superintendent,Endeavour Mining,"Qualité, Hygiène & Sécurité",Ingénierie & Industrie,Senior,"Tanda, Zanzan, Côte d'Ivoire",Contract,2026-06-08,,,LinkedIn,https://ci.linkedin.com/jobs/view/health-and-safety-superintendent-at-endeavour-mining-4421939549?position=3&pageNum=15&refId=ugxnK3paDB%2Fto1KW%2F3k4RQ%3D%3D&trackingId=7CKZiMgHnhYaFy9cBtV27A%3D%3D,Mid-Senior level,"Mining, Oil, Gas, and Mining, and Public Safety",2026-06-19,2026-06-19,archive,retirée de la source
★★★★★,5,Health and Safety Equipment Trainer,Endeavour Mining,"Qualité, Hygiène & Sécurité",Ingénierie & Industrie,Senior,"Tanda, Zanzan, Côte d'Ivoire",Contract,2026-06-08,,,LinkedIn,https://ci.linkedin.com/jobs/view/health-and-safety-equipment-trainer-at-endeavour-mining-4421953847?position=9&pageNum=32&refId=J6TsznqCmobEXGRZX8e0rg%3D%3D&trackingId=NNRMM2xkavrQK7Vgt1lp1Q%3D%3D,Mid-Senior level,"Mining and Oil, Gas, and Mining",2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,Head of Back Office,GSM - Green SM,Direction & Management,Logistique & Achats,Manager/Direction,"Abidjan, Côte d'Ivoire",Full-time,2026-06-09,,,LinkedIn,https://ci.linkedin.com/jobs/view/head-of-back-office-at-gsm-green-sm-4422288594?position=8&pageNum=12&refId=KI%2B44Mn84HmKCUXUkCekuA%3D%3D&trackingId=Eltv01B5P5s599AXDdF2eA%3D%3D,Director,"Transportation, Logistics, Supply Chain and Storage",2026-06-19,2026-06-19,archive,retirée de la source
★★★☆☆,3,Gestionnaire Logistique Import / Export (H/F) - Logistic Specialist Import-Export (M/F),Prysmian,Logistique & Supply Chain,Logistique & Achats,Confirmé,"Abidjan, Côte d'Ivoire",Full-time,2026-06-15,,,LinkedIn,https://ci.linkedin.com/jobs/view/gestionnaire-logistique-import-export-h-f-logistic-specialist-import-export-m-f-at-prysmian-4428678199?position=4&pageNum=17&refId=rtIUrBwJuVDuxSBp%2BhviOA%3D%3D&trackingId=jnm3QVNG8PhlJhP3I%2FgFMw%3D%3D,Not Applicable,Manufacturing,2026-06-19,2026-06-19,archive,retirée de la source
★★★★★,5,General Manager - Ivory Coast,Glovo,Direction & Management,Tech & Digital,Senior,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-06-09,,,LinkedIn,https://ci.linkedin.com/jobs/view/general-manager-ivory-coast-at-glovo-4415682258?position=1&pageNum=12&refId=KI%2B44Mn84HmKCUXUkCekuA%3D%3D&trackingId=jgyLF9yecGkaIg6JYv6waA%3D%3D,Mid-Senior level,Software Development and IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
★★☆☆☆,2,French-Speaking Customer Support Specialist,TalentPop App,Relation Client & Support,Relation Client & BPO,Junior,"Yamoussoukro, Yamoussoukro, Côte d'Ivoire",Full-time,2026-06-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/french-speaking-customer-support-specialist-at-talentpop-app-4426874736?position=3&pageNum=30&refId=OGrOQN52F5Hg8qhsquaUlg%3D%3D&trackingId=Pr%2BEkg6UAoPAhYegDh0mQA%3D%3D,Entry level,IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
★★☆☆☆,2,French-Speaking Customer Support Specialist,TalentPop App,Relation Client & Support,Relation Client & BPO,Junior,Côte d'Ivoire,Full-time,2026-06-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/french-speaking-customer-support-specialist-at-talentpop-app-4428227232?position=7&pageNum=32&refId=J6TsznqCmobEXGRZX8e0rg%3D%3D&trackingId=nneXeomOaanP%2B54uosk9Vg%3D%3D,Entry level,IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
