score_etoiles,score_dc,titre,entreprise,metier_norm,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,source,url,niveau_source,secteur_source,first_seen,last_seen,statut,raison_archive
★★★★☆,4,"Responsable d'agence - Aboisso, Cote d'Ivoire",Lapaire,Commercial & Vente,Autres / Généraliste,Senior,"Aboisso, Comoé, Côte d'Ivoire",Full-time,2026-06-22,,,LinkedIn,https://ci.linkedin.com/jobs/view/responsable-d-agence-aboisso-cote-d-ivoire-at-lapaire-4431792757?position=39&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=oVbuIT1sqAeS%2FoTgy1TJnw%3D%3D,Mid-Senior level,Internet Publishing,2026-06-29,2026-07-20,active,
★★★★☆,4,"Responsable d'agence - Ferkessédougou, Cote d'Ivoire",Lapaire,Commercial & Vente,Autres / Généraliste,Senior,Côte d'Ivoire,Full-time,2026-06-22,,,LinkedIn,https://ci.linkedin.com/jobs/view/responsable-d-agence-ferkess%C3%A9dougou-cote-d-ivoire-at-lapaire-4432003769?position=37&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=x5u4GIaaV9YgnNZ2PZVkZQ%3D%3D,Mid-Senior level,Internet Publishing,2026-06-29,2026-07-20,active,
★★★★☆,4,"Responsable d'agence - Séguéla, Cote d'Ivoire",Lapaire,Commercial & Vente,Autres / Généraliste,Senior,"Séguéla, Woroba, Côte d'Ivoire",Full-time,2026-06-22,,,LinkedIn,https://ci.linkedin.com/jobs/view/responsable-d-agence-s%C3%A9gu%C3%A9la-cote-d-ivoire-at-lapaire-4431793721?position=31&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=I%2FXCBmjFF1bpskBW7PbbFQ%3D%3D,Mid-Senior level,Internet Publishing,2026-06-29,2026-07-20,active,
★★★★☆,4,Responsable de magasin / Responsable opérationnel (H/F),ACF COMPUTER STORE,Commercial & Vente,Autres / Généraliste,Senior,Côte d'ivoire,,15 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136732-responsable-de-magasin-responsable-operationnel-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-19,2026-07-20,active,
★★★★☆,4,Storekeeper,JMG Limited,Logistique & Supply Chain,Autres / Généraliste,Senior,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-07-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/storekeeper-at-jmg-limited-4438798058?position=27&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=MLD2W8TnZw%2B1eZgjpadweg%3D%3D,Mid-Senior level,Manufacturing,2026-07-18,2026-07-20,active,
★★★★☆,4,01 CHARGE DE CLIENTELE SENIOR PME H/F,BOA CI,Commercial & Vente,Commerce & Vente,Senior,"Abidjan, Côte d'ivoire",,12 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136720-01-charge-de-clientele-senior-pme-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-19,2026-07-20,active,
★★★★☆,4,01 CHARGE DE CLIENTELE SENIOR PME H/F,BOA CI,Commercial & Vente,Commerce & Vente,Senior,"Abidjan, Côte d'ivoire",,29 Mai,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136707-01-charge-de-clientele-senior-pme-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-19,2026-07-20,active,
★★★★☆,4,Business Development Manager — Côte d'Ivoire,Anker Innovations,Commercial & Vente,Commerce & Vente,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-07-09,,,LinkedIn,https://ci.linkedin.com/jobs/view/business-development-manager-%E2%80%94-c%C3%B4te-d-ivoire-at-anker-innovations-4438643825?position=20&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=O20Nl3K7mpbok2FlNLZ3hg%3D%3D,Mid-Senior level,Computers and Electronics Manufacturing,2026-07-18,2026-07-20,active,
★★★★☆,4,Responsable Approvisionnemen,,Autres métiers,Commerce & Vente,Senior,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/commerce-vente-distribution/3913-responsable-approvisionnement.html,,Commerce/vente/Distribution,2026-07-18,2026-07-20,active,
★★★★☆,4,01 ANALYSTE CREDIT H/F,BOA CI,Finance & Contrôle de gestion,Finance & Banque,Confirmé,"Abidjan, Côte d'ivoire",,12 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136719-01-analyste-credit-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-19,2026-07-20,active,
